date,2025-12-23
unique_moving_vehicles,170
frames,1727
avg_moving_per_frame,1.110017371163868
avg_stopped_per_frame,2.290677475390851

track_id,stopped_seconds
1,56.967
238,35.4
2,10.067
763,4.467
346,3.933
831,2.7
328,2.4
854,1.8
499,1.533
470,1.433
762,1.3
368,0.767
434,0.767
453,0.767
930,0.767
878,0.7
382,0.667
795,0.6
761,0.533
844,0.4
107,0.367
381,0.333
274,0.233
331,0.233
425,0.233
353,0.2
649,0.167
958,0.167
887,0.133
234,0.1
418,0.1
669,0.1
678,0.1
709,0.1
224,0.067
318,0.067
696,0.067
773,0.067
805,0.067
882,0.067
917,0.067
31,0.033
34,0.033
220,0.033
236,0.033
240,0.033
248,0.033
251,0.033
325,0.033
369,0.033
378,0.033
386,0.033
441,0.033
474,0.033
547,0.033
548,0.033
552,0.033
541,0.033
575,0.033
677,0.033
729,0.033
740,0.033
733,0.033
765,0.033
777,0.033
788,0.033
843,0.033
